スポット名,電話番号,URL,カナ,メインジャンル名,サブジャンル名,エリア名,本文,ic:住所_表記,住所2,ic:定型住所_区,郵便番号,緯度,経度,電話番号,営業時間,URL,アクセス,定休日,料金,駐車場,バリアフリー対応（観光）
有馬ます池,078-904-0309,http://www.shintetsu.co.jp/kanko/masuike/index.html,アリママスイケ,自然・生き物・アウトドア,スポーツ・レクリエーション,有馬（温泉）,手ぶらで訪れて気軽にニジマス（子マス）釣りが楽しめるフィッシングスポット。料理とのセット営業で、園内にある「ますの茶屋」でカラアゲ、塩焼きをご賞味いただけます。エサは団子状のネリエサで、女の子にも安心。童心にかえったデートを楽しむカップルや、食欲旺盛で食いつきの良いニジマスを相手に、はじめての釣り体験に挑戦のファミリーに人気です。夏季はつかみどりイベントを実施。,神戸市北区有馬町1688-2,,北区,651-1401,34.790972,135.244591,078-904-0309,9:00～17:00,http://www.shintetsu.co.jp/kanko/masuike/index.html,神戸電鉄 有馬温泉駅より徒歩15分  / 六甲有馬ロープウェー 有馬温泉駅・鼓が滝公園 前,水・木(12月～2月は水・木・金)　※祝日は営業し、後日休園します。※春・夏休み、GWは無休。,"大人(中学生以上)￥150 / 小人　(小学生)￥80　釣り料は別途",有料専用駐車場あり,
バンドー神戸青少年科学館,078-302-5177,http://www.kobe-kagakukan.jp,バンドーコウベ セイショウネンカガクカン,体験・見学・クラフト,文化,ポートアイランド・六甲アイランド,神戸で唯一のプラネタリウム付属施設である青少年科学館は、「神戸でいちばん星空に近い場所」として親しまれています。6つのテーマからなる展示室には、 「月面ジャンプ」などのアトラクションを含む400点を超える展示物があり、科学のふしぎを体験しながら楽しく学ぶことができます。 また、「星空ウォッチング」や「科学工作教室」などの教育普及講座も、年間100回以上開催しています。(参加は事前の申し込みが必要です),神戸市中央区港島中町7-7-6,,中央区,650-0046,34.666027,135.218393,078-302-5177,月～木　9:30～16:30 /金・ 土・日・祝・春休み・夏休み　9:30～19:00 / 春・夏休み(神戸市が定める小中学校の)9:30～19:00,http://www.kobe-kagakukan.jp,神戸新交通 三宮駅より北埠頭方面ポートライナーで12分、南公園駅下車 東へ徒歩3分,水(祝日の場合は翌日)※春休み・夏休みは無休,展示室:大人￥600、小・中・高校生￥300  / プラネタリウム:大人￥400、小・中・高校生￥200,駐車場なし,介助犬入場OK<>盲導犬入場OK<>エレベーターあり<>バリアフリートイレ<>車椅子利用可能トイレ<>車椅子入場可
神戸北野美術館,078-251-0581,http://www.kitano-museum.com/,コウベキタノビジュツカン,文化,異人館,北野・新神戸,"神戸北野美術館は、歴史的建造物である明治31年(1898年)築の旧アメリカ領事館官舎を館施設としています。 
　1898年に建設された異人館で、戦後は1978年までアメリカ領事館官舎として使用されました。1995年の阪神・淡路大震災の翌年から神戸北野美術館として開館しています。 
　2011年 4月より「モンマルトルの丘の画家たち ～神戸北野異人館街・パリ市モンマルトル地区　友好交流展～」を開催しています。 
　神戸北野異人館街の文化や歴史を紹介すると共に、その魅力を発信する美術館です。また、カフェを併設しており、ゆっくりくつろいでいただける施設です。",神戸市中央区北野町2-9-6,,中央区,650-0002,34.701254,135.191517,078-251-0581,9:30～17:30(入館17時まで)　作品入替え、貸切等で変更有,http://www.kitano-museum.com/,各線 三宮駅徒歩約15分 / 新幹線・地下鉄西神山手線 新神戸より徒歩約8分 / シティーループ「北野異人館」下車すぐ,不定休(要・問合せ)　原則毎月第3火曜日。企画展開催時は開館有。,大人￥500 / 中高生￥300,駐車場なし,介助犬入場OK<>盲導犬入場OK
須磨寺,078-731-0416,http://www.sumadera.or.jp,スマデラ,神社・仏閣・庭園,歴史,須磨・垂水・舞子,真言宗須磨寺派の大本山。本尊の聖観世音菩薩をはじめ、無官の太夫・平敦盛の首塚や、敦盛首洗いの池、義経腰掛けの松など、源平ゆかりの史蹟が多く見られます。在原行平が創始したとされる一絃琴(須磨琴)が伝えられ、歴史・文化的にも価値のあるお寺です。,神戸市須磨区須磨寺町4-6-8,,須磨区,654-0071,34.649247,135.111758,078-731-0416,8:30～17:00,http://www.sumadera.or.jp,山陽 須磨寺駅より徒歩5分 / JR 須磨駅より徒歩12分,年中無休,なし,無料専用駐車場あり,エレベーターあり<>盲導犬入場OK<>車椅子入場可<>介助犬入場OK<>車椅子利用可能トイレ
巨大アートギャラリー＆アトリエ　神戸波止場町 TEN×TEN,078-351-1335,http://tenten.chu.jp/,コウベハトバチョウ テンテン,体験・見学・クラフト,アート・カルチャー,メリケンパーク・ハーバーランド,"巨大アートギャラリー＆アトリエ神戸波止場町TEN×TENは、みなと神戸の新たな文化交流拠点。様々なアートや制作シーンを観覧したり、ワークショップに参加したり、若者はもちろん、ゆっくり時を過ごしたい大人やシルバー世代にもおすすめです。
館内は、ワンフロアに60ブース以上が並ぶ巨大空間、造形・彫金・ガラス絵・伝統組子・アクセサリー・刺繍・絵画・マンガなど
多彩なジャンルの作家たちが、アトリエ創作やギャラリー展示、販売などを行っています。
館内のだまし絵や黄金イラストが描かれた「壁面カフェ」で味わえる、一杯立ての本格コーヒー（￥200）や神戸ドーナツも好評です。",神戸市中央区波止場町6-5,,中央区,650-0042,34.684039,135.184285,078-351-1335,11:00～18:00（入館は17:30まで）,http://tenten.chu.jp/,阪急 花隈駅東口より南へ5分 / 各線 元町駅西口より南西へ8分 / JR 神戸駅より南東へ8分 /地下鉄みなと元町1番出口南へ2分,水(祝日の場合は翌日),入場無料,駐車場なし,バリアフリートイレ<>車椅子利用可能トイレ<>車椅子入場可
神戸市立森林植物園,078-591-0253,http://www.kobe-park.or.jp/shinrin/,コウベシリツ シンリンショクブツエン,自然・生き物・アウトドア,,六甲山・摩耶山,"六甲山の自然を活かした樹木中心の植物園。日本や世界各地の樹木を原産地別に約1,200種植栽しており、各地の森を巡るような景色を楽しみながら自然を満喫できる。春の新緑・ツツジ・シャクナゲ、梅雨のあじさい、秋の紅葉が特に見どころ。野鳥が飛び交う森の中で森林浴や広い芝生広場でのんびりピクニックするのがおすすめ。",神戸市北区山田町上谷上字長尾1-2,,北区,651-1102,34.74081,135.178112,078-591-0253,9:00～17:00(入園16:30まで)　※あじさい散策イベント期間中は8:00～17:00、土日祝は18:00まで開園（入園は閉園の30分前まで）。その他催しにより変更あり。,http://www.kobe-park.or.jp/shinrin/,神戸電鉄 北鈴蘭台駅より定時送迎バスあり(1時間に1本。散策イベント期間中は増便あり)　 / 三宮バスターミナルより神戸市バス25系統、森林植物園下車(※4/1～11/30の土・日・祝のみ運行),水(祝日の場合翌日)、散策イベント期間中は無休,大人(高校生以上)￥300 / 小人(小中学生)￥150,"有料専用駐車場あり（自動車500円　バス2,000円）",車椅子入場可<>車椅子利用可能トイレ<>バリアフリートイレ<>その他
五色塚古墳,"078-707-3131,322-5798",http://www.hi-net.zaq.ne.jp/bucdm105/,ゴシキヅカコフン,歴史,展望,須磨・垂水・舞子,千壺古墳とも呼ばれ、4世紀後半に築かれた兵庫県下最大の前方後円墳。築造当時の姿に復元され、雄大かつ高度な古代の土木技術を体感できます。また、淡路島や明石海峡大橋の眺めは抜群です。,神戸市垂水区五色山4-1,,垂水区,655-0035,34.629532,135.045828,"078-707-3131,322-5798",9:00～17:00,http://www.hi-net.zaq.ne.jp/bucdm105/,山陽電鉄 霞ヶ丘駅より徒歩5分 / JR・山陽電鉄 垂水駅より徒歩10分,月(祝日の場合は翌日) ※4月～11月は無休,無料,無料専用駐車場あり,
六甲有馬ロープウェー,078-251-4880,http://kobe-rope.jp/,ロッコウアリマロープウェー,展望,温泉（有馬）,六甲山・摩耶山,国立公園六甲山の山頂と名湯有馬温泉を、12分間で結ぶ六甲有馬ロープウェー。空中散歩を楽しみながら、四季折々に表情を変える六甲山の雄大な自然を間近に満喫することができます。ロープウェーならではの上空からの絶景を、ゆったりとお楽しみください。,神戸市灘区六甲山町北六甲4512-336(六甲山頂駅),,灘区,657-0101,34.766364,135.247058,078-891-0031(六甲山頂駅),春秋冬 9:30～17:10、夏 9:30～21:30(※詳細はHPよりご確認下さい。4月～11月の土曜日延長ダイヤあり）,http://kobe-rope.jp/index.html,(有馬温泉駅)神戸電鉄 有馬温泉駅から徒歩15分,なし,"大人:片道￥1010　往復￥1,820 / 小人:片道￥510、往復￥910",有料専用駐車場あり（ロープウェー利用者無料）,エレベーターあり<>車椅子利用可能トイレ
甲南漬資料館（こうべ甲南武庫の郷）,078-842-2508,http://www.konanzuke.co.jp/mukonosato/index2.htm,コウナンヅケシリョウカン,酒蔵,体験・見学・クラフト,灘・東灘,人が和み、憩い集まれる総合クリエイティブスペース。灘の酒・甲南漬に関わる資料の展示や、月替わりで灘酒3種が試飲できるコーナー、食事処の他、甲南漬本店などもあります。 また、資料館の建物(旧　高嶋邸)は国登録有形文化財に指定されています。,神戸市東灘区御影塚町4-4-8,,東灘区,658-0044,34.710801,135.244174,078-842-2508,10:00～17:00,http://www.konanzuke.co.jp/mukonosato/index2.htm,阪神 新在家駅から東へ徒歩5分,年末年始,無料,無料専用駐車場あり,介助犬入場OK<>バリアフリートイレ<>盲導犬入場OK<>車椅子利用可能トイレ<>車椅子入場可
箱木千年家,078-581-1740,,ハコギセンネンヤ,歴史,,北神戸,歴史と風格を感じる、室町時代の豪族の住居。現存する民家建造物の中では日本最古のもので、国の重要文化財に指定されています。床や戸板には手斧で削った木材の質感が今も残り、永年の佇まいが感じられます。蔵を利用した資料館には、当時使われた農具や箱木家住宅の模型などが展示され、その歴史を垣間見ることができます。,神戸市北区山田町衝原1-4,,北区,651-1264,34.769501,135.102982,078-581-1740,(4/1～10/31) 9:00～17:00/(11/1～3/31)9:00～16:00,,神戸電鉄 箕谷駅より市バス111系統終点「衝原(つくはら)」下車徒歩3分,12/26～1/10(但し、臨時休業の場合がある為、事前にお問い合わせください。),大人￥300 / 小中学生￥150 (※団体30名以上3割引),無料専用駐車場あり,
ノエビアスタジアム神戸,078-652-5656 (9:00～17:30　※12:00～13:00、木曜を除く),http://www.noevir-stadium.jp/,ノエビアスタジアムコウベ,スポーツ・レクリエーション,,兵庫（新開地）・新長田・長田,ノエビアスタジアム神戸は、2002FIFAワールドカップ(TM)を機に完成した球技専用のスタジアムです。ヴィッセル神戸、神戸製鋼コベルコスティラーズのホームスタジアムとして、サッカーやラグビーの数々の名勝負が繰り広げられてきました。スタジアムには開閉式の屋根があり、天候に左右されず利用が可能。観客席からピッチまでの距離が近く、臨場感あるスポーツ観戦が楽しめます。,神戸市兵庫区御崎町1-2-2,,兵庫区,652-0855,34.656675,135.169661,078-652-5656 (9:00～17:30　※12:00～13:00、木曜を除く),イベント・施設によって異なる,http://www.noevir-stadium.jp/,地下鉄海岸線 御崎公園駅より徒歩5分,木,お問合せください。,有料専用駐車場あり,エレベーターあり<>車椅子入場可<>車椅子利用可能トイレ<>バリアフリートイレ<>点字案内あり
神戸総合運動公園,078-795-5151,http://www.kobe-park.or.jp/sougou/,コウベソウゴウ ウンドウコウエン,スポーツ・レクリエーション,自然・生き物・アウトドア,須磨・垂水・舞子,広大な自然に恵まれた神戸総合運動公園には、国体の会場にもなった「ユニバー記念競技場」、ドーム型体育館「グリーンアリーナ神戸」など、プロスポーツや国際競技が開催される様々なスポーツ施設があります。季節の花々に彩られた園内には子どもたちが喜ぶ遊具もあり、一大レクリエーションゾーンとして、スポーツや行楽・遠足などに利用されています。,神戸市須磨区緑台,,須磨区,654-0163,34.680871,135.07665,078-795-5151,園地部24時間オープン / 運動施設は各施設によって異なる,http://www.kobe-park.or.jp/sougou/,地下鉄西神山手線 総合運動公園駅より徒歩1分,園地部なし/グリーンアリーナ神戸 第3火曜日(祝日の場合翌平日),各施設によって異なる,有料専用駐車場あり,エレベーターあり<>点字案内あり<>介助犬入場OK<>盲導犬入場OK<>車椅子利用可能トイレ<>車椅子入場可
白鶴酒造資料館,078-822-8907,http://www.hakutsuru.co.jp/shiryo/,ハクツルシュゾウシリョウカン,酒蔵,文化,灘・東灘,"大正時代に建造された木造の酒蔵を利用し、そのまま酒造資料館として公開。昔の酒造りの行程に従って蔵人が作業する姿を再現した人形や、実際に使われていた道具を忠実に展示しています。しぼりたて原酒を無料できき酒できるのも魅力のひとつです。また、資料館内売店では、免税販売を実施しています。（総額5,401円以上。パスポート掲示必要）",神戸市東灘区住吉南町4-5-5,,東灘区,658-0041,34.71027,135.260961,078-822-8907,9:30～16:30(入館16:00まで),http://www.hakutsuru.co.jp/shiryo/,阪神 住吉駅から徒歩5分 / JR住吉駅から徒歩15分,なし(お盆・年末年始　除く),無料,無料専用駐車場あり,盲導犬入場OK<>バリアフリートイレ<>車椅子利用可能トイレ<>車椅子入場可<>エレベーターあり<>介助犬入場OK
まやビューライン（摩耶ケーブル＆ロープウェー）,078-861-2998  (星の駅),http://kobe-rope.jp,マヤビューライン,展望,自然・生き物・アウトドア,六甲山・摩耶山,"「まやビューライン」は、摩耶山の山麓～山上をケーブルとロープウェーで結ぶ交通ライン。摩耶山の雄大な自然を身近に楽しめます。山上の「星の駅」駅前の摩耶山掬星台は、日本三大夜景の地として有名で神戸のみならず、大阪から関西国際空港まで一望でき、宝石箱をひっくり返したような輝きです。また、「摩耶山天上寺」や「六甲山牧場」など、山上観光施設へのアクセスにも便利です。",神戸市灘区摩耶山町 2-2,,灘区,657-0105,34.719902,135.216108,078-861-2998  (星の駅),春秋冬の平日 10:00～17:30、春秋の土日祝/夏季全日 10:00～20:50、冬の土日祝10:00～19:50(※詳細はHPよりご確認下さい。),http://kobe-rope.jp,摩耶ケーブル駅:各線三宮より市バス18系統で摩耶ケーブル下 下車(所要25分)　JR灘駅より「坂バス」で摩耶ケーブル下 下車（所要11分）,火曜(祝日の場合は翌日・夏季は除く),"【ケーブル＋ロープウェー】大人 片道￥880　往復￥1,540 / 小人 片道￥440、往復￥770　(※詳細はHPよりご確認下さい。)",駐車場なし,
浜福鶴吟醸工房,078-411-8339,http://www.hamafukutsuru.co.jp/,ハマフクツル ギンジョウコウボウ,酒蔵,,灘・東灘,浜福鶴吟醸工房では、近代的な酒づくりの設備とその行程をガラス越しに見学できます。数ある酒蔵テーマ館のなかでも「もろみ仕込み」を見学できるのが大きな魅力。伝統の技に触れた後は、落ち着いた雰囲気の試飲コーナーで、清冽なしぼりたて生酒の試飲をどうぞ。直売コーナーでは、蔵元ならではお酒やオリジナル商品も販売しています。,神戸市東灘区魚崎南町4-4-6,,東灘区,658-0026,34.709837,135.272863,078-411-8339,火～日 10:00～17:00,http://www.hamafukutsuru.co.jp/,阪神・六甲ライナー魚崎駅より徒歩10分,月(祝日の場合は翌日),無料,無料専用駐車場あり,
関帝廟,078-392-2711,http://www.zhonghua-huiguan.com/,カンテイビョウ,文化,神社・仏閣・庭園,北野・新神戸（市街地北部）,財の神として名高い三国志の武将・関羽を祀った霊廟。入口の山門に掲げられた「関帝廟」の扁額は、世界的に有名な書道家・于右任(蒋介石の元秘書)によるものです。「鯉の滝登り」(登竜門)の故事になぞらえた中門、北京の紫禁城と同じ皇帝色の瓦に青龍の像を配した本堂など、廟の敷地には中国の雰囲気が漂います。,神戸市中央区中山手通7-3-2,,中央区,650-0004,34.689388,135.178077,078-392-2711,9:00～17:00,http://www.zhonghua-huiguan.com/,地下鉄西神山手線 県庁前駅 下車、北西へ徒歩5分。,年中無休,拝観無料,駐車場なし,
シルクロード　絨毯ミュージアム,078-857-0415,http://www.carpetandrug.net/,シルクロード ジュウタンミュージアム,アート・カルチャー,,ポートアイランド・六甲アイランド,"手織り絨毯の専門店「絨毯ギャラリー」に併設されたミュージアム。日本で初めて、西はトルコ、イランから東は中国・日本まで、シルクロード絨毯の貴重なコレクションを集めています。 
アンティークものからいわくつきの絨毯まで手に触れて間近に見る事ができ、遊牧民の生活や絨毯づくりの工程など、さまざまな関係資料も展示。シルクロード絨毯の全貌を理解することができます。",神戸市東灘区向洋町中6-9,六甲アイランド・神戸ファッションマート(KFM)3F,東灘区,658-0032,34.689228,135.268283,078-857-0415,10:00～18:00,http://www.carpetandrug.net/,JR 住吉・阪神 魚崎より六甲ライナーアイランドセンター駅下車、進行方向右手に通路あり,水,大人￥300 / 高校生以下、無料,近隣に駐車場あり,その他<>点字案内あり<>介助犬入場OK<>盲導犬入場OK<>エレベーターあり<>バリアフリートイレ<>車椅子利用可能トイレ<>車椅子入場可
神戸文学館,078-882-2028,http://www.kobe-np.co.jp/info/bungakukan/,コウベブンガクカン,文化,歴史,灘・東灘,"神戸文学館では、常設展示コーナー「みなと神戸の文学風景」で明治時代以降の神戸ゆかりの文学作品及び文学者の資料を時代ごとに展示している他、作家の足跡を紹介する「神戸文学地図」、神戸を舞台に活躍する作家の作品等1,000冊を収めた「神戸の本棚」などを設置。その他にも適時、企画展や文学講座などの関連イベントも開催しています。",神戸市灘区王子町3-1-2,,灘区,657-0838,34.709104,135.21322,078-882-2028,平日 10:00～18:00 / 土・日・祝 9:00～17:00,http://www.kobe-np.co.jp/info/bungakukan/,JR 灘から北西へ約600m / 阪急 王子公園西口から西へ約500m,水(祝日の場合は翌日),無料,駐車場なし,バリアフリートイレ<>盲導犬入場OK<>介助犬入場OK<>その他<>車椅子利用可能トイレ
神戸海洋博物館・カワサキワールド,078-327-8982,http://www.kobe-meriken.or.jp/maritime-museum/,コウベカイヨウハクブツカン・カワサキワールド,みなと・海,体験・見学・クラフト,メリケンパーク・ハーバーランド,"神戸開港120年を記念して建てられたわが国でも有数の港と船の博物館。神戸港の歴史から、港に関する展示や豊富な船舶模型のコレクションを展示。隣接する神戸ポートタワーと共に神戸港のシンボル施設として親しまれています。館内には神戸の地で生まれ1世紀以上の歴史を持つ川崎重工グループの企業ミュージアム「カワサキワールド」を併設。同社の歴史や陸・海・空にわたる製品を多数紹介しています。
0系新幹線やモーターサイクル、ジェットスキー、大型ヘリコプターなどの実物を通して、楽しく学びかつ遊びながら「技術の素晴らしさ」、「ものづくりの大切さ」が実感できる、子どもから大人まで楽しめるスポットです。",神戸市中央区波止場町2-2,,中央区,650-0042,34.682914,135.188287,078-327-8983,10:00～17:00(但し、入館は16:30まで),"http://www.kobe-meriken.or.jp/maritime-museum/
http://www.khi.co.jp/kaswasakiworld/",各線 元町駅より徒歩約15分 / 地下鉄海岸線 みなと元町駅より徒歩約10分,月曜日　(月曜日が祝日の場合は開館翌日振替休館),"神戸海洋博物館・カワサキワールド: 大人600円、小中学生250円
神戸ポートタワー共通入場券: 大人1000円、小中学生400円",無し（近隣に有料駐車場あり）,バリアフリートイレ<>エレベーターあり<>車椅子利用可能トイレ<>車椅子入場可
神戸市立須磨海づり公園,078-735-2907,http://www.umiduri.com/,コウベシリツ スマウミヅリコウエン,自然・生き物・アウトドア,スポーツ・レクリエーション,須磨・垂水・舞子,沖合い400メートルに突き出た釣台は、船釣り感覚で潮風に吹かれながら釣りを楽しむことができます。施設全体が大きな漁礁(魚の集まる場所)になっているので、四季を通じてさまざまな魚を釣ることができます。釣り台には一部(第3・4釣台)約80センチの柵を設置しているので、ご家族揃って、安心して釣りを楽しむことが出来ます。4月下旬から12月28日の期間は、大物釣りの醍醐味が味わえる「マダイの釣堀」を営業しています。,神戸市須磨区一の谷町5丁目地先,,須磨区,654-0076,34.634194,135.104515,078-735-2907,4月・11月6:00～18:00/ 5月平日6:00～18:00、土日祝6:00～19:30/6月平日6:00～18:00、土日祝6:00～20:00/7月～9月平日6:00～19:00、土日祝6:00～20:00/10月6:00～19:00/12月～3月7:00～17:00,http://www.umiduri.com/,山陽電車 須磨浦公園駅下車すぐ / JR 須磨駅下車西へ徒歩約15分,火(祝日は開園)、1月1日、7月21日～8月31日は無休,基本釣り料(4時間)　大人(16歳以上)￥1200、小人(6～15歳)￥700 / 入園料(見学の方)大人(16歳以上)￥200・小人(6～15歳)￥100,近隣に駐車場あり,盲導犬入場OK
神戸ワイナリー(農業公園),078-991-3911,http://www.kobewinery.or.jp,コウベワイナリー(ノウギョウコウエン),自然・生き物・アウトドア,体験・見学・クラフト,西神戸,"神戸市西区、見渡す限りのみどりに囲まれた小高い丘に、神戸市内で大切に育てられたぶどうが「神戸ワイン」に生まれ変わる場所、「神戸ワイナリー(農業公園)」があります。 
自然豊かな園内は、陶芸館やバーベキュー広場などあり、大人から子供まで楽しめるちょっとしたテーマパークのよう。神戸ワインと共に、ゆったりと楽しい時間を過ごせることでしょう。 
",神戸市西区押部谷町高和1557-1,,西区,651-2204,34.733184,135.037754,078-991-3911,9:00～17:00,http://www.kobewinery.or.jp,地下鉄西神山手線 西神中央駅より神姫バス20・75・80・81系統「農業公園」下車。27系統「神戸ワイナリー」下車　※土日祝日のみ運行,なし,入園料 無料,無料専用駐車場あり,介助犬入場OK<>盲導犬入場OK<>車椅子利用可能トイレ<>車椅子入場可
菊正宗酒造記念館,078-854-1029,http://www.kikumasamune.co.jp/kinenkan/,キクマサムネシュゾウキネンカン,酒蔵,,灘・東灘,"国指定の重要有形民俗文化財「灘の酒造り道具」を展示する唯一の施設。丹波杜氏秘伝の「生もと造り」を今に伝えるお酒の博物館です。 
搾りたての生酒をはじめ、いろいろなお酒の試飲が無料でできるので、じっくりお気に入りの一品を吟味することができます。",神戸市東灘区魚崎西町1-9-1,,東灘区,658-0026,34.708612,135.267888,078-854-1029,9:30～16:30 (入館は16:00まで),http://www.kikumasamune.co.jp/kinenkan/,阪神 魚崎駅より南へ徒歩10分 / 六甲ライナー 南魚崎駅より北へ徒歩2分,年末年始,入場、駐車場、きき酒など　無料,無料専用駐車場あり,車椅子入場可<>車椅子利用可能トイレ<>バリアフリートイレ<>その他
シューズプラザ,078-646-5266,http://www.shoesplaza.co.jp,シューズプラザ,ショッピングスポット,,兵庫（新開地）・新長田・長田,"シューズプラザは、ケミカルシューズ発祥の地・長田のシューズメーカー直売店が集結したファッションスポット。エレガントからカジュアルまで、豊富なバラエティのシューズを揃えています。
自分の足にぴったりのコンフォートシューズをオーダーメイドでき、足元からの健康づくりを応援します。",神戸市長田区細田町7-1-9,,長田区,653-0835,34.659205,135.144593,078-646-5266,10:00～19:00,http://www.shoesplaza.co.jp,各線 新長田駅より徒歩3分 / 山陽電鉄 西代駅より徒歩5分,水,無料,"近隣に駐車場あり（3,000円以上お買い上げのお客様に、1時間分の駐車券をサービス）",車椅子利用可能トイレ<>エレベーターあり<>車椅子入場可
鉄人28号　モニュメント,,http://www.kobe-tetsujin.com/,テツジン28ゴウ　モニュメント,アート・カルチャー,自然・生き物・アウトドア,兵庫（新開地）・新長田・長田,"JR新長田駅南側、若松公園内に設置されている、直立時の設定が18mにも及ぶ「鉄人28号」の巨大モニュメント。
神戸出身の漫画家、故・横山光輝さんの1956年の作品「鉄人28号」に登場するキャラクターを再現したものです。
新長田にゆかりの深い横山光輝さんの作品の魅力でまちを盛り上げようと、地元の商店街などが中心となって立ち上げられたNPO法人「神戸鉄人プロジェクト」が、震災復興と地域活性化のシンボルとしての期待を託し、作られました。
モニュメントの周囲は「鉄人広場」として整備されているほか、周辺の商店街には、同じく横山光輝さんの代表作である「三国志」を紹介する展示施設や作中に登場する武将の石像などが設置されています。
また鉄人28号モニュメント制作風景映像を流したり、鉄人28号関連展示やグッズ販売をする「KOBE鉄人三国志ギャラリー」もあります。",神戸市長田区若松町6-3 若松公園内,,長田区,653-0038,34.655583,135.143952,,-　(夜間ライトアップ:日没～21時半),http://www.kobe-tetsujin.com/,JR・市営地下鉄海岸線 新長田駅から西へ徒歩約5分,,,,
香雪美術館,078-841-0652,http://www.kosetsu-museum.or.jp/,コウセツビジュツカン,アート・カルチャー,文化,灘・東灘,朝日新聞創設者 村山龍平(香雪)による、日本・東洋美術のコレクションを収蔵する私立美術館。重文18点・重美22点を含む、絵画、書蹟、武具(刀剣・甲冑)、仏教美術、茶道具など幅広いジャンルの精髄を網羅。各回ごとにテーマを決め、毎年春・秋に展示公開しています。 また、明治・大正期に建てられた旧村山家住宅の(通常は非公開)洋館、日本館、茶室棟は、重要文化財にも指定されています。,神戸市東灘区御影郡家2-12-1,,東灘区,658-0048,34.723585,135.255889,078-841-0652,10:00～17:00 (入館は16:30まで),http://www.kosetsu-museum.or.jp/,阪急 御影駅より徒歩5分 / JR 住吉駅より徒歩15分,会期中無休,大人 ￥700(団体 ￥550 :20名様以上)/ 高・大学生 ￥450(団体 ￥350 :20名様以上)/ 小・中学生 無料　※特別展については、別途料金を定めます。,駐車場なし,
自然体感展望台 六甲枝垂れ,078-894-2281,http://www.rokkosan.com/view/,シゼンタイカンテンボウダイ　ロッコウシダレ,展望,アート・カルチャー,六甲山・摩耶山,"日本建築大賞など数々の受賞歴をもち、国内外で注目されている建築家三分一博志(さんぶいちひろし)により設計されました。 
「六甲山上に立つ一本の大きな樹」がコンセプトの展望台では、夏の天然氷と風を利用した「冷風体験」や冬の「樹氷観測」など、六甲山の四季折々の自然を体感できる様々な試みがなされています。 
また夜には、建物全体を覆う枝葉をイメージした檜のフレームに、1000万色以上の色彩表現が可能なLEDを照射する光の演出を実施しており、1000万ドルの夜景とももに、幻想的な光景が楽しめます。",神戸市灘区六甲山町五介山1877-9,,灘区,657-0101,34.764056,135.246728,078-894-2281,4月～1月中旬…10:00～21:00(最終受付20:30)  1月中旬～3月…10:00～18:00(最終受付17:30)  ※天候等により変更の場合あり。,http://www.rokkosan.com/view/,阪神 御影・JR 六甲道・阪急 六甲各駅から市バス<16>乗車(15～30分)<-六甲ケーブル下駅下車、六甲ケーブル乗車(約10分)<-六甲山上バス乗車(約11分)<-六甲ガーデンテラス下車,年中無休,大人　300円 / 小人(4歳～小学生)　200円,有料専用駐車場あり,
兵庫県公館,078‐341‐7711(代表) /公館事務室(内線6302) /閲覧事務室(内線2197),http://web.pref.hyogo.lg.jp/ac01/ac01_000000026.html,ヒョウゴケンコウカン,歴史,文化,北野・新神戸（市街地北部）,フランス・ルネサンス様式を持つこの建物は、建築家 山口半六の設計で、1902(明治35)年、4代目の県本庁舎として誕生しました。戦災により外壁を残して焼失しましたが、戦後2度の修復により明治の面影を色濃く残す兵庫県公館に生まれ変わって、100年以上にわたる兵庫県の歴史を見つめています。,神戸市中央区下山手通4-4-1,,中央区,650-0011,34.690965,135.184592,078‐341‐7711(代表) /公館事務室(内線6302) /閲覧事務室(内線2197),【県政資料館】月～金 9:00～17:00 / 土 10:00～16:00  【迎賓館(知事室、貴賓室など)】土曜のみ 10:00～16:00  ※平日に迎賓館の見学を希望される場合は、10名以上の団体でお申し込みいただきますと、案内対応いたします（ただし、行事等の都合でお断りさせていただく場合がありますのでご了承願います。）,http://web.pref.hyogo.lg.jp/ac01/ac01_000000026.html,地下鉄西神山手線 県庁前駅下車すぐ / JR・阪神 元町駅より北へ徒歩約5分,日 / 祝日 (土曜は開館:10:00～16:00),無料,駐車場なし,盲導犬入場OK<>エレベーターあり<>バリアフリートイレ<>車椅子入場可<>車椅子利用可能トイレ<>介助犬入場OK<>点字案内あり<>その他
絵葉書資料館,078-705-1512,http://www.ehagaki.org,エハガキシリョウカン,文化,歴史,須磨・垂水・舞子,「絵葉書資料館」は、館長が30年以上にわたり収集してきた膨大な絵葉書コレクションの一部を、一般公開している世界的にも珍しい資料館。所蔵品は、絵葉書だけで1万枚以上。日本手彩色・美術・木版、海外のグリーティングや珍品など、明治後期～大正・昭和はじめにかけての国内外コレクションを常設展示しています。また、ユニークな視点で絵葉書をピックアップする企画展も定期的に開催。絵葉書が今に伝える古き良き風景・風俗・文化を通して、歴史を再発見してみてください。,神戸市垂水区歌敷山1-7-20,,垂水区,655-0037,34.634998,135.041934,078-705-1512,木、金、土の11:00～17:30,http://www.ehagaki.org,山陽電鉄 霞ケ丘駅より北へ徒歩7分 / JR垂水 西口より、山陽バス1系統「愛徳学園前」下車徒歩3分,日～水,大人:300円(高校生以上)　小人:200円(小中学生),施設案内可<>荷物お預り可,
